original_text,processed_text,sentiment,confidence
"Ever since I saw the trailer, i've fallen in love with this song. Am I the only one who hallucinates that the one singing is the MC? 😭",ever since i saw the trailer ive fallen in love with this song am i the only one who hallucinates that the one singing is the mc loudly crying face,NEGATIVE,0.9904326796531677
"In my mind, this banner takes place during MC's long honeymoon after her winter wedding with Zayne ❤",in my mind this banner takes place during mcs long honeymoon after her winter wedding with zayne red heart,POSITIVE,0.9976500868797302
I really love this song 💞 so beautiful ❤,i really love this song revolving hearts so beautiful red heart,POSITIVE,0.9998766183853149
YESSS😭😭,yesssloudly crying faceloudly crying face,NEGATIVE,0.9907481074333191
"In my headcanon, MC is the singer.. aaaah my heart~~",in my headcanon mc is the singer aaaah my heart,POSITIVE,0.72709059715271
"Reliving in the 2000s music feels like a dream! Ooh, I’m getting the Barbie Series, Bratz’s Only You, and Taylor Swift’s Love Story vibes with this song! 🥹🫶💕💕💕",reliving in the 2000s music feels like a dream ooh im getting the barbie series bratzs only you and taylor swifts love story vibes with this song face holding back tearsheart handstwo heartstwo heartstwo hearts,POSITIVE,0.9993206262588501
Already in my Playlist.... 😇😇😇😇😇 feeling like i got my best gift in this year ❤,already in my playlist smiling face with halosmiling face with halosmiling face with halosmiling face with halosmiling face with halo feeling like i got my best gift in this year red heart,POSITIVE,0.9956879019737244
It's giving Winx! 😭💞,its giving winx loudly crying facerevolving hearts,NEGATIVE,0.9954568147659302
So beautiful I love this song so heartwarming 🌸🩷,so beautiful i love this song so heartwarming cherry blossompink heart,POSITIVE,0.9998751878738403
am I in highschool again? 🥹❤️,am i in highschool again face holding back tearsred heart,POSITIVE,0.8893970251083374
ITS GIVING BARBIE AND DISNEY PRINCESS VIBES I F*CKING LOVE THISSS🤧💖💖💖💐💐💐,its giving barbie and disney princess vibes i fcking love thissssneezing facesparkling heartsparkling heartsparkling heartbouquetbouquetbouquet,POSITIVE,0.997788667678833
PUT TGIS IN SPOTIFY!!! I need to remember this so I can make a cover ❤,put tgis in spotify i need to remember this so i can make a cover red heart,NEGATIVE,0.9961749315261841
Feeling so alive with 𝐂𝐚𝐥𝐞𝐛 by my side 💕,feeling so alive with 𝐂𝐚𝐥𝐞𝐛 by my side two hearts,POSITIVE,0.9996792078018188
Wow,wow,POSITIVE,0.999592125415802
Im gonna try this on my guitar,im gonna try this on my guitar,NEGATIVE,0.8209235668182373
Infold it's unfair to gatekeep Such talented artist SHARE THEIR NAME!!❤❤❤,infold its unfair to gatekeep such talented artist share their namered heartred heartred heart,NEGATIVE,0.9977941513061523
I NEED THIS SONG ON SPOTIFY RIGHT NOW LOVE AND DEEPSPACE DEVS! IS A NEED LIKE PLEASE,i need this song on spotify right now love and deepspace devs is a need like please,POSITIVE,0.9968658089637756
This is like watching the scenes from happy endings in romance movies from 2000's. We won girlies😭😭,this is like watching the scenes from happy endings in romance movies from 2000s we won girliesloudly crying faceloudly crying face,NEGATIVE,0.9511590003967285
好好聽😭😭😭,好好聽loudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9934066534042358
"This song is beautiful... It make me cry I don't know why 😭 I love it so much, please we need it on Spotify 😭🙏💙💜",this song is beautiful it make me cry i dont know why loudly crying face i love it so much please we need it on spotify loudly crying facefolded handsblue heartpurple heart,POSITIVE,0.9975518584251404
💜💜,purple heartpurple heart,POSITIVE,0.996286153793335
"Okay miss Taylor Swift!!! Absolutely in love with this song, giving so much Lover/Fearless vibe😍💕

Like lemme put a goddamn MARK✅",okay miss taylor swift absolutely in love with this song giving so much loverfearless vibesmiling face with hearteyestwo hearts like lemme put a goddamn markcheck mark button,POSITIVE,0.9688847661018372
"Holy shit, this slap",holy shit this slap,NEGATIVE,0.9990260601043701
I feel like in a barbie movie..,i feel like in a barbie movie,NEGATIVE,0.9857425689697266
This gives Barbie and Infinity Nikki SO GORGEOUS😭😭,this gives barbie and infinity nikki so gorgeousloudly crying faceloudly crying face,NEGATIVE,0.982117235660553
"Please write down the chords if you've tried it 😭 

I wanted to try it too, but don't know how to 🥲",please write down the chords if youve tried it loudly crying face i wanted to try it too but dont know how to smiling face with tear,NEGATIVE,0.9657997488975525
Im trying too..lets see if i can make an accurate tune by myself then ill share it ​ @Nekopuddingie ,im trying toolets see if i can make an accurate tune by myself then ill share it,NEGATIVE,0.9985647797584534
Omg pls lmk the chords if you've worked it out 😭😭🫂 as a beginner player I wish we had chords available for this I'm dying to try this out,omg pls lmk the chords if youve worked it out loudly crying faceloudly crying facepeople hugging as a beginner player i wish we had chords available for this im dying to try this out,NEGATIVE,0.9979062080383301
They can't for safety reasons,they cant for safety reasons,NEGATIVE,0.7744020223617554
"​​ @Harleena1995 considering she's just a singer, probably not
But i'm guessing she's like a ghost writer.",considering shes just a singer probably not but im guessing shes like a ghost writer,NEGATIVE,0.9928736686706543
​ @Harleena1995 For songs they are fine since they did interviews with previous artists that did collaborations with.,for songs they are fine since they did interviews with previous artists that did collaborations with,POSITIVE,0.9998810291290283
" @Starcry85  True, Sarah Brightman did the main song",true sarah brightman did the main song,POSITIVE,0.9994320273399353
 @Harleena1995  Mikelangelo Loconte did the second opening.,mikelangelo loconte did the second opening,POSITIVE,0.9771983623504639
This is si gooooooooooood,this is si gooooooooooood,NEGATIVE,0.9309284090995789
"Just drop the name singer, we wouldn't mind. ❤",just drop the name singer we wouldnt mind red heart,NEGATIVE,0.8466395735740662
Loooove this so much ❤😢,loooove this so much red heartcrying face,POSITIVE,0.9975307583808899
"Infold, please reveal the singer's name",infold please reveal the singers name,POSITIVE,0.968023955821991
It gives barbie vibe,it gives barbie vibe,POSITIVE,0.9982224106788635
This is my favorite song now! Thank you for this masterpiece!❤❤,this is my favorite song now thank you for this masterpiecered heartred heart,POSITIVE,0.9997956156730652
I love the song🥹🫶🏻❤️ the singer has beautiful voice,i love the songface holding back tearsheart hands light skin tonered heart the singer has beautiful voice,POSITIVE,0.9998430013656616
"BEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFULBEAUTIFUL, BEAUTIFUL, BEAUTIFUL!!!!!!!!!!",beautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautifulbeautiful beautiful beautiful,POSITIVE,0.9997112154960632
This is so good tell they will have this song in a game 😭😭😭,this is so good tell they will have this song in a game loudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.983596682548523
WHAT A BANGER OF A SONG,what a banger of a song,POSITIVE,0.9996910095214844
"This song feels so nostalgic! 🥹 And it's simply beautiful 🥺
The game has featured many great songs so far 💕
(But ahhhh for a second I thought this time they finally let a native English speaker read over the lyrics, but no. ""It's just like a flower open*ing* wide"" would be correct. Or ""like a flower which/that opens wide"". I'll try to ignore it, though! Even if I can't help that part feeling weird 🥲)",this song feels so nostalgic face holding back tears and its simply beautiful pleading face the game has featured many great songs so far two hearts but ahhhh for a second i thought this time they finally let a native english speaker read over the lyrics but no its just like a flower opening wide would be correct or like a flower whichthat opens wide ill try to ignore it though even if i cant help that part feeling weird smiling face with tear,NEGATIVE,0.9395712018013
PLEASE I NEED THIS ON SPOTIFY,please i need this on spotify,POSITIVE,0.9137918949127197
"BEAUTIFUL, BEAUTIFUL, BEAUTIFUL",beautiful beautiful beautiful,POSITIVE,0.999881386756897
Spotify when??,spotify when,POSITIVE,0.9534668326377869
Spotify please,spotify please,POSITIVE,0.9992577433586121
My summer bop now 😆 please upload on Spotify asap ahahahah,my summer bop now grinning squinting face please upload on spotify asap ahahahah,POSITIVE,0.9740197658538818
It's perfect 😭💕✨️,its perfect loudly crying facetwo heartssparkles,POSITIVE,0.9939422011375427
It’s giving that ending song from the movie Enchanted ❤😭,its giving that ending song from the movie enchanted red heartloudly crying face,POSITIVE,0.9710511565208435
It’s kind of Barbie Movie or Taylor Swift vibes,its kind of barbie movie or taylor swift vibes,NEGATIVE,0.8119017481803894
Literally been on replay since I found it. I'm OBSESSED! But infold why must this come during the 1.5 Infinity Nikki update!?!? 😭😭😭 THIS ISN'T FAIRRRR,literally been on replay since i found it im obsessed but infold why must this come during the 15 infinity nikki update loudly crying faceloudly crying faceloudly crying face this isnt fairrrr,NEGATIVE,0.9981086254119873
OMGOSH THIS IS SO GOOD! 😭 THANK YOU!!,omgosh this is so good loudly crying face thank you,POSITIVE,0.9996523857116699
This is lowkey giving Hikaru Nara!! I love it!!,this is lowkey giving hikaru nara i love it,POSITIVE,0.9939126372337341
I need this on spotify! 😭,i need this on spotify loudly crying face,NEGATIVE,0.9988510608673096
"PLEASE RELEASE THIS SONG ON SPOTIFY, INFOLD. I BEG YOU. I WANT TO LOOP THIS SONG ALL DAY LONG.",please release this song on spotify infold i beg you i want to loop this song all day long,NEGATIVE,0.9729883074760437
"So spring and love vibes. I love it. Remembers me a little bit of Dawson's creek.
Lyricist and composer : love and Deepspace. Who is the singer, the band?",so spring and love vibes i love it remembers me a little bit of dawsons creek lyricist and composer love and deepspace who is the singer the band,POSITIVE,0.9998750686645508
I REALLY LOVE THIS EVENT AND THIS SONG REALLY BEAUTIFUL 😭❤❤❤,i really love this event and this song really beautiful loudly crying facered heartred heartred heart,POSITIVE,0.9996680021286011
this is really awesomeee,this is really awesomeee,POSITIVE,0.9998651742935181
My new favorite song❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,my new favorite songred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heartred heart,POSITIVE,0.9979791045188904
"My favourite OST by far. So Barbie coded actually, no wonder I love it so much",my favourite ost by far so barbie coded actually no wonder i love it so much,POSITIVE,0.9977360963821411
"I have been listening to this nonstop ever since they dropped this. It really is giving such a nostalgic feel. 🥺🩵

Tho INFOLD who is the singer??? God I love her voice so much.",i have been listening to this nonstop ever since they dropped this it really is giving such a nostalgic feel pleading facelight blue heart tho infold who is the singer god i love her voice so much,POSITIVE,0.9982699155807495
Beautiful ❤ who is singing this song? 😊,beautiful red heart who is singing this song smiling face with smiling eyes,POSITIVE,0.9998714923858643
Vibes of Princess Diaries and Taylor swift,vibes of princess diaries and taylor swift,POSITIVE,0.9987393021583557
BGM is sioooooo goood🎉,bgm is sioooooo gooodparty popper,NEGATIVE,0.9909961223602295
"The Barbie, Disney, Winx club vibes I'M SO HAPPY 😭💗",the barbie disney winx club vibes im so happy loudly crying facegrowing heart,POSITIVE,0.9966905117034912
BEAUTIFUL,beautiful,POSITIVE,0.9998807907104492
"This isssss sooo beautiful thEME AND THIS song tooooo omggg , How lovely. DEVW team  I LOVE YOU!!!!!",this isssss sooo beautiful theme and this song tooooo omggg how lovely devw team i love you,POSITIVE,0.9939518570899963
"I thought I ended up on the infinity nikki channel, the barbie vibes but it is lads for spring? I love it ♡",i thought i ended up on the infinity nikki channel the barbie vibes but it is lads for spring i love it,POSITIVE,0.999663233757019
Spotifyyyyyy!,spotifyyyyyy,NEGATIVE,0.8847925066947937
Once again Taylor swift enchanted era,once again taylor swift enchanted era,POSITIVE,0.9993891716003418
"Another song that goes to my playlist, it's too cute.... Oh spring timeee 🎶 🎶",another song that goes to my playlist its too cute oh spring timeee musical notes musical notes,NEGATIVE,0.9916595816612244
"IF U ADD IT TO YOUR LIKES AND LISTEN TO IT THROUGH THE LIKES PLAYLIST THERES AN OPTION TO LOOP IT, NOT AS GOOD AS SPOTIFY BUT IT WORKS YOU'RE WELCOME",if u add it to your likes and listen to it through the likes playlist theres an option to loop it not as good as spotify but it works youre welcome,POSITIVE,0.9990252256393433
The song literally brings me back to 2010,the song literally brings me back to 2010,POSITIVE,0.99623703956604
Who’s singing? She lowkey sounds like taylor swift,whos singing she lowkey sounds like taylor swift,NEGATIVE,0.7602570652961731
I LOVE THIS BARBIE VIBE😭🫶🏻✨,i love this barbie vibeloudly crying faceheart hands light skin tonesparkles,POSITIVE,0.9862167835235596
It's giving Taylor Swift early music,its giving taylor swift early music,POSITIVE,0.9997382760047913
WHO’S THE AMAZING ARTIST??,whos the amazing artist,POSITIVE,0.9998583793640137
I am usually a Xavier/Sylus main. But I genuinely love everyone in these cards🥹 This is so beautiful! I can't 😭🌸🌿🪷🪻,i am usually a xaviersylus main but i genuinely love everyone in these cardsface holding back tears this is so beautiful i cant loudly crying facecherry blossomherblotushyacinth,POSITIVE,0.9994693398475647
"I like this, thank you ❤❤❤❤",i like this thank you red heartred heartred heartred heart,POSITIVE,0.9998539686203003
"Winx Club vibes, I love it ❤",winx club vibes i love it red heart,POSITIVE,0.9998199343681335
BARBIE VIBESS AGHHHH❤❤❤😭😭,barbie vibess aghhhhred heartred heartred heartloudly crying faceloudly crying face,NEGATIVE,0.9826236367225647
who is the singer?,who is the singer,POSITIVE,0.9982680082321167
I live a good LADS song with vocals 🥰😍 It's like a Barbie or Disney movie 🍿🎥 Very romantic,i live a good lads song with vocals smiling face with heartssmiling face with hearteyes its like a barbie or disney movie popcornmovie camera very romantic,POSITIVE,0.999767005443573
Mandy moore WHO?!,mandy moore who,POSITIVE,0.9960389137268066
"I need this on Apple Music, Please! 🌷☀️",i need this on apple music please tulipsun,NEGATIVE,0.9792591333389282
I LOVE THIS SONG VIBE... SO REFRESHINGGGGG YET MAKE MY HEART FEELS BETTER,i love this song vibe so refreshinggggg yet make my heart feels better,POSITIVE,0.9988088607788086
WAHHHHH😭😭😭😭😭😭😭😭😭😭😭😭😭😭,wahhhhhloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.9923755526542664
"GREATT I'm finally in a Barbie movie with the Prince charmings I love and choose, swaying on this beautiful beats~ 💃🏻❤❤",greatt im finally in a barbie movie with the prince charmings i love and choose swaying on this beautiful beats woman dancing light skin tonered heartred heart,POSITIVE,0.9998156428337097
Please add this in spotify same with those from back then after 3.0 updates.,please add this in spotify same with those from back then after 30 updates,NEGATIVE,0.9805123805999756
"I LOVE THIS GAME SM, THE VISUAL, THE DETAILS, THE SONGS, BACKGROUND MUSICS THANK YOUUU FOR THIS AMAZING GAME",i love this game sm the visual the details the songs background musics thank youuu for this amazing game,POSITIVE,0.9998817443847656
drop this song in spotify!!! por pabor,drop this song in spotify por pabor,POSITIVE,0.928307294845581
THIS IS SO GOOOOODD,this is so gooooodd,NEGATIVE,0.9967076778411865
Ikr. I'm Xavier girl but I think I'll not complain if I get anyone else in this banner,ikr im xavier girl but i think ill not complain if i get anyone else in this banner,POSITIVE,0.6279656887054443
this is me also,this is me also,POSITIVE,0.9992727637290955
LOVE IT SO MUCHHHH,love it so muchhhh,POSITIVE,0.999864935874939
Spotify when? 🥺🥺💕,spotify when pleading facepleading facetwo hearts,POSITIVE,0.9798083901405334
IM SOOO IN LOVE WITH THIS😭,im sooo in love with thisloudly crying face,NEGATIVE,0.9648512601852417
"Tienen razon! estamos en nuestra Disney Princess era, me sentí asiii aaaah",tienen razon estamos en nuestra disney princess era me sentí asiii aaaah,POSITIVE,0.7675211429595947
Please put this on Spotify 💗,please put this on spotify growing heart,POSITIVE,0.9995900988578796
this song definitely makes me want to jam out in my room 🥹,this song definitely makes me want to jam out in my room face holding back tears,NEGATIVE,0.5171353816986084
Starring MC as Barbie 💖🌸,starring mc as barbie sparkling heartcherry blossom,POSITIVE,0.9996317625045776
Thank you for making this beautiful song💕,thank you for making this beautiful songtwo hearts,POSITIVE,0.9998737573623657
wowowow it's sooooo gooood,wowowow its sooooo gooood,POSITIVE,0.997357189655304
"This makes me wanna run away and twirl around in a field of flowers.

Edit: Played this song and pulled on the banner. Got R1 Zayne. Spring has come.",this makes me wanna run away and twirl around in a field of flowers edit played this song and pulled on the banner got r1 zayne spring has come,POSITIVE,0.9940992593765259
this banner announcement (and this SONG) is making me happy-cry and i can't remember the last time i happy cried. thank you lnd team <3,this banner announcement and this song is making me happycry and i cant remember the last time i happy cried thank you lnd team 3,POSITIVE,0.9996370077133179
OMFG YAY THEY RELEASED THE MUSIC I LOVED THIS MY HEART AND SOUL IM SO EMOTIONAL NOBODY TOUCH ME,omfg yay they released the music i loved this my heart and soul im so emotional nobody touch me,NEGATIVE,0.9791277050971985
Sukaaaa bangeeet. Vibesnya kayak film barbie jaman dulu 🩷🩷🫰🫰,sukaaaa bangeeet vibesnya kayak film barbie jaman dulu pink heartpink hearthand with index finger and thumb crossedhand with index finger and thumb crossed,NEGATIVE,0.9799447059631348
PERO QUE HERMOSA CANCIÓN ❤❤❤ SIGAN ASÍ!!,pero que hermosa canción red heartred heartred heart sigan así,POSITIVE,0.9971110820770264
Okay where's the proper credit list???? I need the singer then composer the lyricist I need names,okay wheres the proper credit list i need the singer then composer the lyricist i need names,NEGATIVE,0.9949818253517151
Oh it's so romatic and cute! But do you really have to hit me with the dragon Sylus reference here? It still hurts okay 😭,oh its so romatic and cute but do you really have to hit me with the dragon sylus reference here it still hurts okay loudly crying face,NEGATIVE,0.9944313168525696
The woman singing has such a beautiful voice can't wait to get the song during the event!!,the woman singing has such a beautiful voice cant wait to get the song during the event,POSITIVE,0.9994243383407593
This is just a BANGER 💮🏵️🌸 It makes me feel like a teenager girl in love again,this is just a banger white flowerrosettecherry blossom it makes me feel like a teenager girl in love again,POSITIVE,0.9982863068580627
"Strikes me as corny and I'm sorry, but I also don't hate it? But I don't love it and I grew up in the 90s and 2000s. This is sounding like those or Taylor Swift, so again, they know their audience. This banner probably won't be for everyone, but those who weren't that into Catch-22? Yeah, now we're coming out in droves for the fluff. (I pulled for that once I saw it was just LADS version of Batman, but I still didn't love it.)",strikes me as corny and im sorry but i also dont hate it but i dont love it and i grew up in the 90s and 2000s this is sounding like those or taylor swift so again they know their audience this banner probably wont be for everyone but those who werent that into catch22 yeah now were coming out in droves for the fluff i pulled for that once i saw it was just lads version of batman but i still didnt love it,POSITIVE,0.9898837804794312
Thanks thanks for this masterpiece!! I love it so much ~,thanks thanks for this masterpiece i love it so much,POSITIVE,0.9998735189437866
"Righttt, even if it’s all in-house, they deserve credit!",righttt even if its all inhouse they deserve credit,POSITIVE,0.997601330280304
"I am so curious to know the name, but it's not listed in the description 😢 I hope we can hear her voice more times",i am so curious to know the name but its not listed in the description crying face i hope we can hear her voice more times,NEGATIVE,0.9850671291351318
"​ @queziasantos2643  I'm not sure but looks like it's Sarah Brightman, the same woman who sang the Love and Deepspace theme. But it's just an impression.",im not sure but looks like its sarah brightman the same woman who sang the love and deepspace theme but its just an impression,POSITIVE,0.9343481659889221
​ @Rizelden I don't think so.. if it was her she would be credited. This is definitely an underated singer who they don't want to reveal. Like a ghost writer..,i dont think so if it was her she would be credited this is definitely an underated singer who they dont want to reveal like a ghost writer,NEGATIVE,0.556280255317688
"@NeonLights762  Yeah, I thought the same too...",yeah i thought the same too,POSITIVE,0.9461305141448975
"Yeah, my thoughts are pretty similar. It feels cheesy and overly schlocky, but clearly they hit an audience lmao. I would have loved Catch-22 if not for the horrible costumes, so I will continue waiting for a banner that I can actually like lol.
If you draw for this one I hope you end up liking the cards better than you expect, anyway!",yeah my thoughts are pretty similar it feels cheesy and overly schlocky but clearly they hit an audience lmao i would have loved catch22 if not for the horrible costumes so i will continue waiting for a banner that i can actually like lol if you draw for this one i hope you end up liking the cards better than you expect anyway,POSITIVE,0.9684017896652222
"It's perfect, I already obsessed ❤",its perfect i already obsessed red heart,POSITIVE,0.9993509650230408
"Getting major anime movie OST vibes from this, it's so beautiful! Well done!",getting major anime movie ost vibes from this its so beautiful well done,POSITIVE,0.9998230338096619
i need it on my list now,i need it on my list now,NEGATIVE,0.8889457583427429
Feels so alive,feels so alive,POSITIVE,0.9998304843902588
This has making me have the strongest urge to sing it myself.,this has making me have the strongest urge to sing it myself,POSITIVE,0.9916630983352661
we gorlt a love and deepspace lyric video before gta 6 and its so pretty,we gorlt a love and deepspace lyric video before gta 6 and its so pretty,POSITIVE,0.9925606846809387
Pls I need to add this to my playlists on spotify,pls i need to add this to my playlists on spotify,NEGATIVE,0.9978437423706055
"🥰😆🥰😭😭  this is sooo beautiful i cant, i will of course get my mains Caleb and Rafayel and xavier looks  sooo cute i must get this card of him. OMG I’ll be pulling for 3 cards my wallet is dead. I hope they all have flower crowns or in the shop at least. I wanted it since I heard about spring multi banner. I must continue to grind for those diamonds. Thank you infold!",smiling face with heartsgrinning squinting facesmiling face with heartsloudly crying faceloudly crying face this is sooo beautiful i cant i will of course get my mains caleb and rafayel and xavier looks sooo cute i must get this card of him omg ill be pulling for 3 cards my wallet is dead i hope they all have flower crowns or in the shop at least i wanted it since i heard about spring multi banner i must continue to grind for those diamonds thank you infold,POSITIVE,0.9878785014152527
❤❤❤❤,red heartred heartred heartred heart,POSITIVE,0.9987941980361938
I feel my organs shutting down,i feel my organs shutting down,NEGATIVE,0.9996569156646729
NEED IT ON SPOTIFY BY THE TIME I WAKE UP LATER ❤️💜🩵💙💚💛🧡🩷🤎,need it on spotify by the time i wake up later red heartpurple heartlight blue heartblue heartgreen heartyellow heartorange heartpink heartbrown heart,NEGATIVE,0.833329975605011
this is so perfect I love it ❤😍 if I were to rate this.... 1mil/10,this is so perfect i love it red heartsmiling face with hearteyes if i were to rate this 1mil10,POSITIVE,0.999869704246521
I FEEL LIKE I'M THE PRINCESS IN BARBEI WORLD!:chillwcat::face-blue-star-eyes:,i feel like im the princess in barbei worldchillwcatfacebluestareyes,NEGATIVE,0.9869118928909302
so beautifulllll ✨✨😭😭,so beautifulllll sparklessparklesloudly crying faceloudly crying face,POSITIVE,0.9627878665924072
Please post on Spotify so I can be delusional and think of me sylus,please post on spotify so i can be delusional and think of me sylus,NEGATIVE,0.9505809545516968
When Will you add this masterpiece in Spotify?,when will you add this masterpiece in spotify,POSITIVE,0.9962030053138733
"Omg I love it so much, I'm crying.",omg i love it so much im crying,POSITIVE,0.9991704225540161
"Oh, it's so cute and romantic ❤ i loved",oh its so cute and romantic red heart i loved,POSITIVE,0.9998817443847656
THIS SONG S GIVING BARBIE AND TAYLOR SWIFTT,this song s giving barbie and taylor swiftt,POSITIVE,0.989963948726654
Listening to this is fr healing a part of me I didn’t think needed healing,listening to this is fr healing a part of me i didnt think needed healing,NEGATIVE,0.9224868416786194
"This really is one of their worst songs, I hope they make a good ost again soon 😭",this really is one of their worst songs i hope they make a good ost again soon loudly crying face,NEGATIVE,0.9997791647911072
great im crying again,great im crying again,POSITIVE,0.9953141212463379
THIS SONG IS SO BEAUTIFUL! I GOT CHILLS!!!!!!!,this song is so beautiful i got chills,POSITIVE,0.9998577833175659
I LOVE ITTT JWJAJSHHS,i love ittt jwjajshhs,POSITIVE,0.9997643828392029
who sang this? i need this on spotify! 🥹,who sang this i need this on spotify face holding back tears,NEGATIVE,0.6792833805084229
OMG THIS IS GORGEOUS 😭💘 WHY DOES IT SOUND LIKE MY CHILDHOOD WHERE EVERYTHING WAS BEAUTIFUL CAREFREE AND JUST PURE LAUGHTER 😭 NEVER IN MY LIFE I WOULD LOVE A MOBILE GAME AS MUCH AS I LOVE LADS.. SUCH A MASTERPIECE 💘💘,omg this is gorgeous loudly crying faceheart with arrow why does it sound like my childhood where everything was beautiful carefree and just pure laughter loudly crying face never in my life i would love a mobile game as much as i love lads such a masterpiece heart with arrowheart with arrow,POSITIVE,0.9988971948623657
This is probably my favorite out of all the osts they released! It sounds like a younger Taylor Swift song or a Barbie movie soundtrack 🥺 It's sooooo good. We need this on streaming platforms asap 😭,this is probably my favorite out of all the osts they released it sounds like a younger taylor swift song or a barbie movie soundtrack pleading face its sooooo good we need this on streaming platforms asap loudly crying face,NEGATIVE,0.9847970008850098
SPOTIFY PLSSSS😭😭😭💞💞💞,spotify plssssloudly crying faceloudly crying faceloudly crying facerevolving heartsrevolving heartsrevolving hearts,NEGATIVE,0.9981160163879395
"After hearing it at first I thought it was a Taylor Swift song. Whoever the singer is, I just wanna say, I love your voice!! 🗣️💖

This song making me feel so happy and alive. I will listen to this while working everyday to get some boost of motivation. Thank you, INFOLD for another beautiful song. Thank you as well to the team who composed this! ❤️❤️❤️",after hearing it at first i thought it was a taylor swift song whoever the singer is i just wanna say i love your voice speaking headsparkling heart this song making me feel so happy and alive i will listen to this while working everyday to get some boost of motivation thank you infold for another beautiful song thank you as well to the team who composed this red heartred heartred heart,POSITIVE,0.9998086094856262
this is healing my inner child,this is healing my inner child,POSITIVE,0.9997503161430359
This beautiful song it’s giving Barbie. 😭💖🫶🏾 god i love this,this beautiful song its giving barbie loudly crying facesparkling heartheart hands mediumdark skin tone god i love this,POSITIVE,0.9985705614089966
Infold really put a lot of effort into this banner. T T THANK YOU.❤,infold really put a lot of effort into this banner t t thank youred heart,POSITIVE,0.989928662776947
"Omgg!! It's outt!! 😭🥺 God, i love it so muchh 💖 i'm gonna cryy 😫",omgg its outt loudly crying facepleading face god i love it so muchh sparkling heart im gonna cryy tired face,POSITIVE,0.9927176237106323
So beautiful,so beautiful,POSITIVE,0.9998823404312134
WAITING PATIENTLY FOR THIS SONG TO BE INCLUDED IN THE DEEPSPACE ECHO VOL. 2 😭😭😭,waiting patiently for this song to be included in the deepspace echo vol 2 loudly crying faceloudly crying faceloudly crying face,NEGATIVE,0.99764084815979
"This gives me barbie and tinkerbell vibes, I love it ❤❤",this gives me barbie and tinkerbell vibes i love it red heartred heart,POSITIVE,0.9998385906219482
"what in the early 2010"" barbie and tinkerbell tune is thisss, ABSOLUTE PERFECTION!!! PEAK ROMANCE, PURE LOVE AT ITS FINEST!!!!",what in the early 2010 barbie and tinkerbell tune is thisss absolute perfection peak romance pure love at its finest,POSITIVE,0.9997300505638123
I CANT EXPLAIN THE AMOUNT OF HAPPINESS THIS SONG BRINGS ME,i cant explain the amount of happiness this song brings me,POSITIVE,0.9998630285263062
MY NEW FAVOURITE LADS SOUNDTRACK,my new favourite lads soundtrack,POSITIVE,0.9986869692802429
"I LOVE THIS MUSIC SO MUCH, IT MAKES ME CRY OF JOY 😭😭💖🌷💘🌟✨",i love this music so much it makes me cry of joy loudly crying faceloudly crying facesparkling hearttulipheart with arrowglowing starsparkles,POSITIVE,0.9957419037818909
IM OBSSESED OMG⁉⁉,im obssesed omgexclamation question markexclamation question mark,NEGATIVE,0.991472601890564
"ohhh exactly this is what I'm thinking 😭❤ it reminds me to taylor swift's old songs, like one in Fearless or Speak Now ❤",ohhh exactly this is what im thinking loudly crying facered heart it reminds me to taylor swifts old songs like one in fearless or speak now red heart,POSITIVE,0.9927950501441956
 @rinaaahyun2307  Enchanted album for me <3,enchanted album for me 3,POSITIVE,0.9997474551200867
YESSS agreee!!,yesss agreee,POSITIVE,0.9965182542800903
This!!! Omg,this omg,NEGATIVE,0.9819566011428833
I thought the same too!!!,i thought the same too,NEGATIVE,0.9834286570549011
The voice and style is giving Violette Wautier to me 🤔 Her song 'I'd Do It Again' does give Taylor Swift vibes tho!!,the voice and style is giving violette wautier to me thinking face her song id do it again does give taylor swift vibes tho,POSITIVE,0.9966095685958862
Me too,me too,POSITIVE,0.990517795085907
